,total,POSITIVE,NEGATIVE,proportion
quran,11,0,11,0.0
heavens,5,0,5,0.0
imam,22,0,22,0.0
centers,5,0,5,0.0
chastisement,10,0,10,0.0
duty,6,0,6,0.0
arabia,5,0,5,0.0
statement,10,0,10,0.0
saqar,20,0,20,0.0
العظيم,18,0,18,0.0
grievous,12,0,12,0.0
northern,5,0,5,0.0
mahdi,22,0,22,0.0
nasser,26,0,26,0.0
الأنبياء,13,0,13,0.0
lord,21,1,20,0.047619047619047616
mohammad,20,0,20,0.0
refuses,5,0,5,0.0
jamad,18,0,18,0.0
mecca,20,0,20,0.0
winter,15,1,14,0.06666666666666667
planet,20,0,20,0.0
according,25,0,25,0.0
thewarningmoonisover,18,0,18,0.0
whose,6,0,6,0.0
الله,18,0,18,0.0
click,13,1,12,0.07692307692307693
servant,5,0,5,0.0
decisive,11,0,11,0.0
khalifa,19,0,19,0.0
arctic,12,0,12,0.0
gates,5,1,4,0.2
ah,20,0,20,0.0
indeed,10,0,10,0.0
allah,24,2,22,0.08333333333333333
thermal,5,0,5,0.0
regarding,11,0,11,0.0
temperature,5,0,5,0.0
season,6,1,5,0.16666666666666666
صدق,18,0,18,0.0
helping,8,2,6,0.25
snow,5,0,5,0.0
lol,8,2,6,0.25
terrible,6,0,6,0.0
voters,7,1,6,0.14285714285714285
small,7,1,6,0.14285714285714285
kill,7,1,6,0.14285714285714285
run,7,3,4,0.42857142857142855
half,5,0,5,0.0
bad,8,2,6,0.25
wonder,5,1,4,0.2
dream,6,1,5,0.16666666666666666
close,8,4,4,0.5
zionists,5,2,3,0.4
follow,6,2,4,0.3333333333333333
worthless,5,0,5,0.0
fraud,5,0,5,0.0
november,9,0,9,0.0
wait,10,0,10,0.0
donald,14,6,8,0.42857142857142855
brother,10,2,8,0.2
succeeds,7,0,7,0.0
curse,8,0,8,0.0
begins,9,0,9,0.0
issue,9,0,9,0.0
messages,7,0,7,0.0
fatwa,7,0,7,0.0
